date,ACSref,Room,Caredays,Total($),Number of Cages,average caredays
2022-04,90783,B143 C,145,142.10000000000002,5,29
2022-04,90783,B143 E,532,521.36,22,24.18181818
2022-04,90783,C121,13052,9397.44,607,21.50247117
2022-04,90783,C161D,449,323.28,18,24.94444444
2022-04,90784,B143 E,797,781.0600000000001,30,26.56666667
2022-05,91408,B143 E,789,773.22,32,24.65625
2022-05,91407,B143 C,155,151.9,5,31
2022-05,91407,B143 E,626,613.48,21,29.80952381
2022-05,91407,C121,10721,7719.12,420,25.52619048
2022-05,91407,C161D,437,314.64,16,27.3125
2022-06,92016,C121,10976,7902.72,487,22.53798768
2022-06,92016,C101A,8,5.76,1,8
2022-06,92016,B143 E,582,570.36,22,26.45454545
2022-06,92016,C161D,781,562.32,31,25.19354839
2022-06,92017,C161D,37,26.64,5,7.4
2022-06,92017,B143 E,897,879.06,34,26.38235294
2022-06,92017,B143 C,21,20.58,21,1
2022-06,92016,B143 C,272,266.56,11,24.72727273
2022-07,92628,C121,12423,8944.56,484,25.66735537
2022-07,92628,B143 E,634,621.32,28,22.64285714
2022-07,92628,B143 C,93,91.14,3,31
2022-07,92628,C161D,695,500.4,31,22.41935484
2022-07,92629,B143 E,899,881.02,29,31
2022-07,92629,B143 C,651,637.98,21,31
2022-07,92629,C161D,161,115.92,7,23
2022-08,93226,B143 C,635,622.3,21,30.23809524
2022-08,93226,B143 E,743,728.14,29,25.62068966
2022-08,93226,C161D,124,89.28,4,31
2022-08,93225,B143 C,93,91.14,3,31
2022-08,93225,B143 E,840,823.1999999999999,32,26.25
2022-08,93225,C121,14672,10563.84,552,26.57971014
2022-08,93225,C161D,763,549.36,34,22.44117647
2022-09,93837,C121,13674,9845.28,579,23.61658031
2022-09,93837,C161D,957,689.0400000000001,49,19.53061224
2022-09,93837,C119,1,0.72,1,1
2022-09,93837,B143 E,641,628.18,32,20.03125
2022-09,93838,C161D,144,103.68,6,24
2022-09,93838,B143 E,669,655.62,26,25.73076923
2022-09,93838,B143 C,555,543.9,19,29.21052632
2022-09,93837,B143 C,220,215.6,9,24.44444444
2022-10,94461,C121,15397,11085.84,613,25.11745514
2022-10,94461,C161D,1223,880.5600000000001,45,27.17777778
2022-10,94461,B143 C,265,259.7,9,29.44444444
2022-10,94461,B143 E,857,839.86,37,23.16216216
2022-10,94462,B143 E,834,817.3199999999999,28,29.78571429
2022-10,94462,B143 C,108,105.84,18,6
2022-10,94462,C161D,186,133.92000000000002,6,31
2022-11,95085,C121,15111,10879.92,636,23.75943396
2022-11,95086,B143 E,813,796.74,28,29.03571429
2022-11,95086,C161D,180,129.60000000000002,6,30
2022-11,95085,B143 C,249,244.01999999999998,9,27.66666667
2022-11,95085,B143 E,994,974.12,38,26.15789474
2022-11,95085,C161D,1090,784.8000000000001,39,27.94871795
2022-12,95695,C161D,122,87.84,6,20.33333333
2022-12,95694,C161D,1133,815.76,39,29.05128205
2022-12,95694,C121,15345,11048.4,616,24.91071429
2022-12,95695,B143 E,891,873.18,30,29.7
2022-12,95694,B143 C,279,273.42,9,31
2022-12,95694,B143 E,1281,1255.3799999999999,45,28.46666667
2023-01,96306,B143 E,766,750.68,29,26.4137931
2023-01,96306,C161D,62,44.64,2,31
2023-01,96305,B143 C,279,273.42,9,31
2023-01,96305,B143 E,1572,1540.56,57,27.57894737
2023-01,96305,C121,15421,11103.12,659,23.40060698
2023-01,96305,C161D,1153,830.16,39,29.56410256
2023-02,96908,C121,12870,9266.4,629,20.46104928
2023-02,96909,B143 E,462,452.76,23,20.08695652
2023-02,96909,C161D,56,40.32,2,28
2023-02,96908,B143 C,236,231.28,9,26.22222222
2023-02,96908,B143 E,1098,1076.04,54,20.33333333
2023-02,96908,C161D,1169,841.68,46,25.41304348
2023-03,97512,C121,12347,8889.84,579,21.32469775
2023-03,97512,C161D,1198,862.5600000000001,46,26.04347826
2023-03,97512,C119,1,0.72,1,1
2023-03,97512,B143 E,1325,1298.5,57,23.24561404
2023-03,97512,B143 C,310,303.8,17,18.23529412
2023-03,97513,C161D,48,34.56,2,24
2023-03,97513,B143 E,983,963.34,42,23.4047619
2023-04,98114,B143 C,3,2.94,1,3
2023-04,98115,C161D,774,557.28,37,20.91891892
2023-04,98114,B143 E,1259,1233.82,48,26.22916667
2023-04,98115,B143 E,1824,1787.52,81,22.51851852
2023-04,98115,B143 C,408,399.84,33,12.36363636
2023-04,98115,C121,11615,8362.800000000001,543,21.39042357
2023-05,98719,B143 C,31,30.38,1,31
2023-05,98719,B143 E,1450,1421,49,29.59183673
2023-05,98720,B143 C,1242,1217.1599999999999,42,29.57142857
2023-05,98720,B143 E,2179,2135.42,86,25.3372093
2023-05,98720,C121,11069,7969.68,499,22.18236473
2023-05,98720,C161D,854,614.88,35,24.4
2023-06,99321,B143 E,1405,1376.8999999999999,51,27.54901961
2023-06,99320,C161D,680,489.6,35,19.42857143
2023-06,99321,B143 C,30,29.4,1,30
2023-06,99320,B143 E,2481,2431.38,117,21.20512821
2023-06,99320,C121,9677,6967.4400000000005,421,22.98574822
2023-06,99320,B143 C,1230,1205.3999999999999,41,30
2023-07,99918,B143 C,964,944.72,35,27.54285714
2023-07,99918,B143 E,3967,3887.66,147,26.98639456
2023-07,99918,C121,10333,7439.76,438,23.5913242
2023-07,99918,C161D,737,530.64,37,19.91891892
2023-08,100503,C121,9701,6984.72,405,23.95308642
2023-08,100503,C161D,744,535.68,38,19.57894737
2023-08,100503,B143 C,738,723.24,28,26.35714286
2023-08,100503,B143 E,3369,3301.62,132,25.52272727
2023-09,101082,B143 C,552,540.9599999999999,19,29.05263158
2023-09,101082,B143 E,2829,2772.42,103,27.46601942
2023-09,101082,C121,9715,6994.8,410,23.69512195
2023-09,101082,C161D,1060,763.2,54,19.62962963
2023-10,101665,B143 C,530,519.4,18,29.44444444
2023-10,101665,B143 E,2769,2713.62,130,21.3
2023-10,101665,C121,10347,7449.84,438,23.62328767
2023-10,101665,C161D,1354,975.4,57,23.75438596
2023-11,102236,C161D,847,609.84,50,16.94
2023-11,102236,C121,9974,7181.280000000001,448,22.26339286
2023-11,102236,B143 C,510,499.79999999999995,17,30
2023-11,102236,B143 E,2987,2927.2599999999998,125,23.896
2023-12,102781,B143 C,450,441,24,18.75
2023-12,102781,B143 E,3253,3187.94,141,23.07092199
2023-12,102781,C121,10541,7589.52,451,23.37250554
2023-12,102781,C161D,781,562.32,34,22.97058824
2024-01,103339,C161D,939,676.08,39,24.07692308
2024-01,103339,C121,10912,7883.9400000000005,473,23.06976744
2024-01,103339,C114,16,11.52,1,16
2024-01,103339,B143 E,4080,3959.92,191,21.36125654
2024-01,103339,B143 C,523,512.54,18,29.05555556
2024-01,103339,B149,14,21,2,7
2024-02,103893,B143 C,484,474.32000000000005,25,19.36
2024-02,103893,B143 E,3973,3879.2400000000002,187,21.2459893
2024-02,103893,C121,9552,6877.44,401,23.82044888
2024-02,103893,C161D,902,649.4399999999999,38,23.73684211
2024-03,104435,C161D,756,544.32,31,24.38709677
2024-03,104435,C121,11113,8001.36,440,25.25681818
2024-03,104435,B143 C,1300,1274,79,16.4556962
2024-03,104435,B143 E,4028,3947.44,152,26.5
2024-04,104988,B143 C,1788,1737.1599999999999,79,22.63291139
2024-04,104988,B143 E,4280,4187.639999999999,187,22.88770053
2024-04,104988,C121,10304,7418.88,454,22.69603524
2024-04,104988,C161D,722,519.84,28,25.78571429
2024-05,105545,B143 C,1764,1728.72,62,28.4516129
2024-05,105545,B143 E,4907,4808.34,225,21.80888889
2024-05,105545,C121,9975,7182,435,22.93103448
2024-05,105545,C161D,407,293.04,34,11.97058824
2024-06,106106,C161D,58,41.760000000000005,7,8.285714286
2024-06,106106,B143 C,1500,1470,50,30
2024-06,106106,B143 E,4744,4649.12,183,25.92349727
2024-06,106106,C121,9490,6832.8,447,21.23042506
2024-07,106651,B143 E,5130,5027.4,199,25.77889447
2024-07,106651,C121,10128,7292.16,459,22.06535948
2024-07,106651,B143 C,1669,1635.62,72,23.18055556
2024-07,106651,C161D,2,1.44,1,2
